Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandAdibasCheckbox is displayed, DOM Id: brands__Adibas, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandBansCheckbox is displayed, DOM Id: brands__Bans, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - brandFilterSection is displayed, DOM Id: A__opened__130, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandImBalanceCheckbox is displayed, DOM Id: brands__ImBalance, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandMykeyCheckbox is displayed, DOM Id: brands__Mykey, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - brandOverArmourCheckbox is displayed, DOM Id: brands__OverArmour, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckbox is displayed, DOM Id: colors__Black, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorBlackCheckmark is displayed, DOM Id: SPAN__checkmark__107, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorBlueCheckbox is displayed, DOM Id: colors__Blue, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - colorFilterSection is displayed, DOM Id: A__opened__100, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorGreenCheckbox is displayed, DOM Id: colors__Green, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorWhiteCheckbox is displayed, DOM Id: colors__White, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Filters - colorYellowCheckbox is displayed, DOM Id: colors__Yellow, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - filterButton is displayed, DOM Id: filterBtn, Browser: firefox, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: edge, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: Filters - filtersSidebar is displayed, DOM Id: sidebar_filters, Browser: firefox, Viewport: 1200x700, Device: Laptop, Status: Pass
